NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
90205,City of Elk Grove,ELK GROVE,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90209,"Valley Metro Rail, Inc.",Phoenix,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,"Valley Metro Rail, Inc."
90211,Anaheim Transportation Network,Anaheim,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90212,Imperial Valley Transit,El Centro,CA,"El Centro-Calexico, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90213,City of Petaluma,PETALUMA,CA,"Petaluma, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Petaluma
90214,City of Redondo Beach,REDONDO BEACH,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90216,County of Sacramento Municipal Services Agency Department of Transportation,SACRAMENTO,CA,Non-UZA,Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90218,Riverside County Transportation Commission,RIVERSIDE,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90220,City of Folsom,Folsom,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90223,"Paratransit, Inc.",SACRAMENTO,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90224,"Paratransit, Inc. CTSA",Sacramento,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90225,San Francisco Bay Area Water Emergency Transportation Authority,SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,San Francisco Bay Area Water Emergency Transportation Authority
90226,Imperial County Transportation Commission,EL CENTRO,CA,"El Centro-Calexico, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90229,El Dorado County Transit Authority,DIAMOND SPRINGS,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90232,Solano County Transit,VALLEJO,CA,"Vallejo, CA",Bay Area,MTC,Metropolitan Transportation Commission,Solano County Transit
90234,Marin County Transit District,SAN RAFAEL,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,Marin County Transit District
90296,City of Claremont,CLAREMONT,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90299,Sonoma-Marin Area Rail Transit District,PETALUMA,CA,"Santa Rosa, CA",Bay Area,MTC,Metropolitan Transportation Commission,Sonoma-Marin Area Rail Transit District
90302,San Bernardino County Transportation Authority,SAN BERNARDINO,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
99423,City of Glendale,GLENDALE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
99424,City of Pasadena,Pasadena,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
99425,Pomona Valley Transportation Authority,LA VERNE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
